"Finished","ID","BioAssassin_1_1","BioAssassin_2_1","BioAssassin_3_1","BiowarNumCountry_1_1","BiowarNumCountry_2_1","BiowarNumCountry_3_1","QuALITY_1_1","QuALITY_2_1","QuALITY_3_1","FutureWorries","NonStateBio100k_1_1","NonStateBio100k_2_1","NonStateBio100k_3_1","GenAttitudes","GPT","ComputeCost_1_1","ComputeCost_2_1","ComputeCost_3_1","ComputeCostgraphic_1_1","ComputeCostgraphic_2_1","ComputeCostgraphic_3_1","HumanExtReasonsSum_1_1","HumanExtReasonsSum_2_1","HumanExtReasonsSum_3_1","HumanExtReasonsSum_4_1","HumanExtReasonsSum_5_1","HumanExtReasonsSum_6_1","HumanExtReasonsSum_7_1","HumanExtReasons_corr_1_1","HumanExtReasons_corr_2_1","HumanExtReasons_corr_3_1","HumanExtReasons_corr_4_1","HumanExtReasons_corr_5_1","HumanExtReasons_corr_6_1","HumanExtReasons_corr_7_1","HumanExtReasonsSum_7_TEXT","HumanExtReasons_corr_7_TEXT","HumanExtReasonsSum"
"True","PBA5i64MmOZ",1,3,4,7,12,20,60,80,100,2064,6,10,12,NA,80,6e+07,8e+07,9e+07,NA,NA,NA,19,19,10,50,1,1,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PJ3m9uFK9N5",0,1,3,NA,NA,NA,68,80,94,2080,0.2,1,2.5,2150,45,NA,NA,NA,1e+08,2e+10,5e+14,0.1,1.9,50,10,0,1,37,NA,NA,NA,NA,NA,NA,NA,"Climate change","","100"
"True","PcwIEA0Nm2k",0,0,0.001,10,10,11,61,68,88,NA,0,0,0,1e+210,100,0,0,0,NA,NA,NA,14,14,14,14,14,14,16,NA,NA,NA,NA,NA,NA,NA,"climate change","","100"
"True","P6SF1wvasYK",0,0,1,5,5,5,70,75,85,2040,0,0,0,2090,NA,5e+06,1e+07,2.5e+07,NA,NA,NA,15,25,20,5,0,35,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PSsTvG5YCAS",0.01,0.05,0.1,NA,NA,NA,63,83,90,2075,1,5,10,2050,48,NA,NA,NA,5e+07,2.5e+08,1e+09,1,1,3,30,0.1,5,1,1,1,3,30,0.1,5,1,"","As yet inknown","41.1"
"True","PyuwfV7ueyq",NA,NA,NA,6,6,8,42,58,70,2200,0,0,0,2050,49,NA,NA,NA,5e+06,3500000,5e+05,0.5,0.25,1,0.25,0.001,0.001,0,60,10,5,10,5,5,5,"","","2.002"
"True","PL0SkuvXK2f",1,2,3,NA,NA,NA,58,70,85,2030,0,1,2,2028,1,2e+10,3e+10,5e+10,NA,NA,NA,2,15,10,20,1,32,20,NA,NA,NA,NA,NA,NA,NA,"Global Warming","","100"
"True","PLXpD9Cbh9n",5,15,30,8,15,35,65,70,95,2053,2,5,10,NA,5,1e+12,2.5e+10,1e+10,NA,NA,NA,35,5,10,35,10,3,2,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PAuUS3lBNMO",0.1,0.4,0.5,0,3,6,60,75,90,NA,1,2,5,2025,40,NA,NA,NA,7e+07,1e+08,3e+08,40,50,10,50,2,20,5,35,20,10,30,5,5,5,"","","177"
"True","P5bFL6MscPG",0,1,3,2,3,6,60,70,88,2035,0,0,2,NA,60,1.2e+07,2e+07,6e+07,NA,NA,NA,5,19,5,25,1,15,30,NA,NA,NA,NA,NA,NA,NA,"Global warming","","100"
"True","P8IkN5JWK2j",0,1,2,5,6,6,59,65,88,2040,0,0,1,2050,NA,1e+07,2e+10,3e+10,NA,NA,NA,3,5,2,3,0,2,1,5,7,5,4,0,5,74,"","","16"
"True","PZ6cUL9OoB2",0,0,0.3,17,19,23,77.5,93,99,2038,0,0,1,NA,5,NA,NA,NA,5e+08,9e+08,1.1e+09,5,40,5,40,0.1,5.9,4,NA,NA,NA,NA,NA,NA,NA,"Conventional war or slow extinction due to climate change breaking down civilization","","100"
"True","PsSkpNiXB5x",0,0,1,4,6,5,72,78,90,2055,0,0,0,1e+210,NA,7e+06,1e+07,2.5e+07,NA,NA,NA,8,12,15,20,0,45,0,NA,NA,NA,NA,NA,NA,NA,NA,"","100"
"True","PhUdns6O9Fp",NA,NA,NA,6,12,15,63,75,88,2044,0,0,0,2100,25,2e+10,2e+11,2e+11,NA,NA,NA,50,0,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PMe8OPck68b",33,40,60,15,10,5,28,30,38,NA,5,8,15,2023,50,3e+06,2e+06,5e+08,NA,NA,NA,20,40,30,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PGcfJuStZIM",0.001,0.002,0.01,8,8,8,65,90,99,2150,NA,NA,NA,2060,10,NA,NA,NA,6.5e+07,1e+08,1e+12,5,5,20,20,2,43,5,NA,NA,NA,NA,NA,NA,NA,"Global warming","","100"
"True","P0DKx3BNQLw",0,0,1,4,5,9,33,75,90,2050,0,0,0,2100,NA,NA,NA,NA,1e+09,1e+10,1e+11,15,40,30,10,2,3,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P35TgXdm2Lz",0,0,1,3,5,7,40,45,60,2075,NA,NA,NA,2070,75,NA,NA,NA,7.5e+07,1.5e+08,5e+08,5,8,3,10,1,1,0,10,35,3,50,1,1,0,"","","28"
"True","P0BvNGszIQa",0.2,0.6,0.9,7,11,27,44,53,60,NA,1e-04,4e-04,0.001,2080,85,NA,NA,NA,7e+07,1.1e+08,2.5e+08,0.001,2,0.05,3,1e-05,0.7,0,0.5,60,0.5,38,0,0.7,0,"0","0","5.75101"
"True","PTVhs3rbTvJ",NA,NA,NA,17,20,22,55,72,88,2060,0,0,0,2090,20,NA,NA,NA,2e+08,1.5e+11,2.5e+11,40,1,20,20,1,18,0,NA,NA,NA,NA,NA,NA,NA,"0","","100"
"True","PjOMncdM9Cy",0,0.01,0.02,16,20,30,NA,NA,NA,2123,0,0,0,2300,50,NA,NA,NA,7e+07,1.3e+08,5e+08,20,10,50,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Pew6tv2zzQO",0,0,0,0,0,1,50,70,90,2200,0,0,1,2250,NA,NA,NA,NA,9e+07,1.2e+08,1.5e+08,5,25,5,10,0,55,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Pf4NRy23f5M",0,0,0.5,3,3,15,13,20,35,2080,0,0,2,NA,5,5e+06,7e+06,2.5e+07,NA,NA,NA,15,5,5,40,5,30,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PSPwV4t9jvx",1,3,5,49,47,45,60,70,88,2025,5,7,8,NA,10,NA,NA,NA,1.5,5,10,30,40,10,15,3,2,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PIhwuBSzSNx",0,0,1,6,7,12,45,65,82,2060,0,0,0,NA,40,NA,NA,NA,7e+07,1.2e+08,2.5e+08,0.5,1,0.1,3,0.1,0.1,0.2,10,30,10,30,10,5,5,"Anything else","Anything else","{Invalid Expression}"
"True","PK5qK5KS8kA",0,1,4,6,12,24,NA,NA,NA,2050,0,1,5,2100,1,3e+30,3e+50,3e+100,NA,NA,NA,1.5,1,1,15,0.5,1,80,NA,NA,NA,NA,NA,NA,NA,"Climate change","","100"
"True","PhuEnQRJ1qi",0,1,3,NA,NA,NA,28,40,65,2090,0,0,1,2080,30,NA,NA,NA,2e+07,1e+07,1e+07,1,10,0,1,0,45,43,NA,NA,NA,NA,NA,NA,NA,"Global warming","","100"
"True","P4wC0IJi2II",0,0,0,5,9,13,40,50,80,2035,NA,NA,NA,2060,50,NA,NA,NA,9e+07,3e+09,1e+11,15,15,10,25,10,25,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PU7t4ACvZYH",0,0,1,10,30,50,50,70,90,2030,NA,NA,NA,2030,50,1e+06,5e+05,2e+05,NA,NA,NA,15,20,5,30,15,15,0,NA,NA,NA,NA,NA,NA,NA,"0","","100"
"True","P3yLqxiSTDi",0,0,0,15,15,25,NA,NA,NA,2024,0,0,0,1e+210,10,NA,NA,NA,2e+07,1e+08,1e+11,20,20,1,20,0,10,5,20,20,1,20,0,10,29,"","","76"
"True","P9fdI8ImO4g",NA,NA,NA,6,7,10,59,75,89,2033,0,0,0,2075,50,NA,NA,NA,2.5e+08,1e+10,2e+10,20,25,10,30,5,10,0,NA,NA,NA,NA,NA,NA,NA,"none","","100"
"True","PezBnBVZmzw",1,2,4,20,30,40,45,60,80,NA,1,3,5,2200,10,1e+05,150000,250000,NA,NA,NA,5,10,2,15,0,25,0,5,10,5,55,0,25,0,"","","57"
"True","PZ1ninjJMzo",0,0,0,4,4,6,36,48,67,2100,0,0,1,NA,20,NA,NA,NA,5e+07,5.2e+07,6e+07,20,35,30,10,0,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P7Xw8fDrVzZ",1,1,2,3,5,10,71,80,85,10,0,1,3,12,NA,NA,NA,NA,60,80,90,40,5,5,10,0,5,0,40,5,5,25,0,10,0,"","","65"
"True","PdXrlvslrqe",0,0,2,5,5,11,35,51,75,2045,NA,NA,NA,2038,23,NA,NA,NA,1.8e+08,1e+09,9e+09,21,8,5,64,0,1,1,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PM918M1uq2d",NA,NA,NA,7,10,15,55,70,90,2030,0,1,3,35,50,2e+10,2.5e+10,3.5e+10,NA,NA,NA,45,5,5,20,1,5,19,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PpZm9xZSfXI",0,1,2,5,10,15,63,75,88,NA,0,1,2,33,48,2e+10,1e+11,2e+11,NA,NA,NA,5,5,1,5,0,1,0,5,5,1,5,0,1,0,"N/A","N/A","17"
"True","PWPJ4iAOo4L",0.0017,0.0016,0.0015,5,7,10,NA,NA,NA,2150,3e-04,2e-04,1e-05,2150,20,NA,NA,NA,1.5e+08,2e+08,5e+08,1.4e-05,1.3e-05,1e-05,1e-05,1e-06,1e-05,99.9999,1.4e-05,1.3e-05,1e-05,1e-05,1e-06,1e-05,99.99999,"","","99.999958"
"True","PoMwyaBZi1n",0,0,1,NA,NA,NA,40.5,72.5,98,2100,2,7,10,2300,15,2e+09,6e+09,8e+09,NA,NA,NA,5,8,15,2,1,3,4,5,48,15,22,10,3,4,"","","38"
"True","PY7HOlTvByM",8,12,14,4,26,59,NA,NA,NA,2050,2,6,13,2035,5,1.7e+10,5.5e+10,1e+11,NA,NA,NA,80,56,9,90,12,20,31,27,12,4,36,12,4,5,"Wars","Wars","298"
"True","PtT5tejRt23",1,1,1,6,6,6,86,88,90,2030,5,8,10,NA,1,1e+07,1e+08,1e+10,NA,NA,NA,10,10,5,20,5,20,30,NA,NA,NA,NA,NA,NA,NA,"Sun running out of hydrogen","","100"
"True","PpQ3yGUCPuz",0.5,0.5,0.5,10,15,20,70,80,95,2030,1,3,5,NA,90,NA,NA,NA,1e+05,5e+05,1e+06,80,50,90,90,70,80,0,10,10,25,25,20,10,0,"n/a","n/a","460"
"True","PQrzduCnl8H",0.5,1,10,1,3,5,NA,NA,NA,2028,8,15,30,2026,50,6e+06,2e+07,2e+06,NA,NA,NA,5,10,5,40,1,1,38,NA,NA,NA,NA,NA,NA,NA,"Climate change & it's effects/asteroid","","100"
"True","PRE0hJWOCua",0,0,0,57,60,59,79,84.3,89.1,2100,0.007,0.006,3e-04,2150,NA,NA,NA,NA,5.2e+07,4e+07,3.9e+07,0.001,0.001,0.004,0.02,0.001,0,0,0.001,0.001,0.004,0.02,999,0,0,"","","0.027"
"True","PWcvIgTIYRW",1,3,5,10,15,20,2,4,6,2100,NA,NA,NA,2035,30,1e+05,150000,2e+05,NA,NA,NA,6,6,20,10,2,2,0,10,10,40,20,10,10,0,"","","46"
"True","PiUmeczZTqa",1,2,10,10,15,20,50,50,60,2025,1,2,5,2050,NA,1e+06,1e+06,1e+05,NA,NA,NA,15,20,10,30,10,10,5,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PIXDKZcntTB",0,0,0,1,2,3,NA,NA,NA,2045,0,0,1,2035,2,1e+09,2e+09,4e+09,NA,NA,NA,1,5,3,10,0,4,0,1,5,3,10,0,4,78,"0","0","23"
"True","P6vIkmYbNfo",0,1,2,8,10,11,80,90,95,2024,NA,NA,NA,2050,0.5,NA,NA,NA,1e+08,5e+08,9e+08,10,10,40,38,1,1,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P6yHFyeXeZy",NA,NA,NA,0,0,0,45,58,72,1e+210,0,0,0,1e+210,1,NA,NA,NA,5e+07,6e+07,1e+09,0.1,1,2,10,0.001,0.1,0,0.1,1,2,10,0.001,0.1,0,"","","13.201"
"True","Pj46o0WZGML",0,1,3,4,7,12,40,65,92,2040,NA,NA,NA,2035,50,1.5e+07,2e+08,1e+09,NA,NA,NA,15,12,65,2,4,2,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P7hGbwnLdGN",0,0,2,11,15,45,79,96,97,2050,1e-04,1e-04,0.5,NA,1,1e+09,5e+09,5e+10,NA,NA,NA,10,10,20,8,0,50,2,NA,NA,NA,NA,NA,NA,NA,"Nasty surprises!","","100"
"True","PeT0WiiAZUl",0,0,0,NA,NA,NA,41,43,45,2200,0,0,0,2095,100,1e+08,1.5e+08,2e+07,NA,NA,NA,0,2,0,27,1,30,40,NA,NA,NA,NA,NA,NA,NA,"asteroid strike or stellar flare","","100"
"True","PlwyHQCC0tO",0,0,0,19,20,25,60,78,88,2050,0,1,3,2100,NA,NA,NA,NA,1e+08,6.4e+09,1.5e+10,10,10,15,40,15,10,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PZM580b9bs7",NA,NA,NA,3,5,7,22,25,30,2030,1e-04,1e-04,2e-04,1980,1e-06,NA,NA,NA,6e+07,7e+07,9e+07,1e-06,1e-04,2e-04,0.001,1e-04,1e-05,1e-06,5,25,10,20,5,5,10,"","","0.001412"
"True","PUrGFh03PMg",NA,NA,NA,6,6,6,60,75,90,2050,0,1,2,1e+210,1,1e+09,5e+09,2e+10,NA,NA,NA,5,15,2,5,1,2,70,NA,NA,NA,NA,NA,NA,NA,"Climate change ","","100"
"True","PgVAWQihvSf",1e-06,1e-06,1e-04,13,18,30,NA,NA,NA,2049,0,1e-04,0.01,1e+210,7,1e+07,3e+08,3e+08,NA,NA,NA,45,9.9,0.99,45,0.01,0,0,45,9.9,0.9,45,0.01,0,0,"","","100.9"
"True","P1rYERhwf4k",0,0,0.1,6,6,8,71,85,100,2049,0,0.1,0.1,NA,48,NA,NA,NA,5e+07,1.1e+08,1e+09,5,30,5,1,0.1,0.1,40,5,35,5,1,1,1,50,"Climate change and associated impacts","Climate change and associated impacts","81.2"
"True","P3JtuLZxHUt",0.001,0.01,0.05,4,3,0,70,80,95,NA,0,0,1,NA,NA,NA,NA,NA,6e+07,1e+08,1e+09,1,1,5,5,1,47,40,1,1,5,5,1,47,40,"End of life of the sun","End of life of the sun","{Invalid Expression}"
"True","PvUcVV3dJ5Z",0.1,1,1,6,4,4,45,55,65,2050,NA,NA,NA,2080,5,NA,NA,NA,60,100,120,40,35,15,4,1,4,1,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P4dMaH8wQnr",NA,NA,NA,8,10,12,86,90,95,2100,0,1,2,2100,75,NA,NA,NA,1e+08,3e+08,1e+09,10,2,0.5,25,0,1,0,25,15,2,50,0,8,0,"","","38.5"
"True","PyETKBMBZ9t",0,1,2,12,13,15,68,90,96,2040,1,8,12,2060,NA,5500000,5500000,5e+06,NA,NA,NA,30,30,19,15,1,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P4UwLl2wr2k",0.03,0.03,4,170,175,180,82,90,98,2038,0.03,1,3,NA,50,4e+06,3800000,3e+06,NA,NA,NA,5,5,20,10,1,7,35,5,5,20,10,1,7,52,"meteor, solar flairs so large they basically EMP the entire planet. Like would cause nuclear meltdowns and fallouts. Or it's the kinda solar flair that wipes out multic","meteor, solar flairs so large they basically EMP the entire planet. Like would cause nuclear meltdowns and fallouts. Or it's the kinda solar flair that wipes out multic","83"
"True","Pdj72AU2SgT",0.1,2,5,NA,NA,NA,60,71,88,2070,0,0,0,2038,1,15,10,10,NA,NA,NA,15,20,10,20,5,30,0,15,20,5,20,5,30,0,"n/a","n/a","{Invalid Expression}"
"True","P4fzFBIjVsw",0,0,1,16,16,16,60,78,88,2028,0,0,0,2025,NA,NA,NA,NA,1e+07,239890000,1.1891e+11,6,5,4,3,2,1,1,20,15,15,15,15,10,10,"asteroid","asteroid","22"
"True","PbkpYLBN0BX",0,0,0,8,10,30,75,90,99,1e+210,1,1,1,NA,0.5,150,150,150,NA,NA,NA,0.4,1,2,5,0,0.5,0,15,10,20,50,0,5,0,"none","none","8.9"
"True","P7pQJVDUCBm",0,0,1,3,3,3,50,52,85,NA,0,0,0,2500,90,NA,NA,NA,5e+08,1e+09,5e+09,0,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PrF4izfPZSs",NA,NA,NA,4,5,5,69,70,85,2060,0,0,1,2100,5,3.5e+07,5e+07,1e+10,NA,NA,NA,30,5,10,50,1,3,1,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PnLaYYNfwRf",0,0,0,6,8,15,92,99,100,2050,NA,NA,NA,2050,90,NA,NA,NA,5e+07,7.5e+07,1e+08,10,10,60,10,5,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PbWib0O2fTq",0,1,3,16,17,20,80,87,95,2100,0,0,1,NA,1,NA,NA,NA,5e+07,5e+08,1e+09,10,20,1,39,1,29,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PVosmGZv9pj",1,2,5,0,1,2,35,70,85,1e+210,0,0,2,NA,35,NA,NA,NA,50,50,50,0,3,0,1,1,0,95,NA,NA,NA,NA,NA,NA,NA,"Sun fails","","100"
"True","Pu0qkcoRyHY",0,0,1,4,6,12,86,88.5,92.3,NA,0,0,1,2100,3,NA,NA,NA,5.5e+07,7.5e+07,1e+08,2,5,0,0,0,0,1,30,60,0,0,0,0,10,"Asteroid ","Asteroid ","8"
"True","PAaaifRPJXy",0,1,1,15,15,15,41,45,50,2050,0,0,0,2024,NA,NA,NA,NA,6e+07,1.2e+08,2.4e+08,1e-04,1e-04,1e-05,1e-04,1e-06,1e-04,5e-04,15,20,15,15,5,5,25,"","","0.000911"
"True","Peo00AHtfnx",0,0,2,4,7,10,NA,NA,NA,2100,0,2,5,2100,15,NA,NA,NA,5e+08,2e+11,3.5e+11,1,1,1,1,1,95,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Pv2PJIDmzbi",20,40,60,50,50,60,92,120,130,NA,10,15,25,2050,85,NA,NA,NA,1e+09,1.5e+09,1.7e+09,15,30,10,10,10,20,5,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PoCba7e5yKF",30,5,2,20,10,2,50,78,80,3100,3,1,1,4455,NA,1e+11,2e+11,1.5e+11,NA,NA,NA,10,6,10,70,2,4,0,10,6,10,70,2,2,0,"","","102"
"True","PgUt4xY0psJ",NA,NA,NA,12,22,32,28,35,40,2040,1,10,30,2100,34,NA,NA,NA,5e+06,8e+06,1.2e+07,10,11,32,42,4,3,9,10,11,27,36,4,3,9,"","","111"
"True","P6xm9gAv351",0,0,5,4,8,30,50,75,88,NA,0,0,2,2050,35,NA,NA,NA,5e+07,1e+10,1.2e+11,10,20,10,60,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PpLNsKTS7im",0,0,2,8,10,15,42,59,85,NA,0,0,2,2050,55,4600000,1e+07,5e+07,NA,NA,NA,2,2,1,1,1,0,0,25,25,10,10,20,10,0,"","","7"
"True","PcNKnAmsc7C",0,0,0,10,15,20,85,95,100,NA,0,0,0,2100,35,NA,NA,NA,1e+08,5e+08,5e+09,10,5,15,15,5,10,40,10,5,15,15,5,10,40,"Unforeseen","Unforeseen","{Invalid Expression}"
"True","PKiXMstmOmq",0,1,3,NA,NA,NA,42,50,70,2100,0,2,4,NA,60,NA,NA,NA,1e+08,4e+08,1e+09,15,80,1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PKMwhAnjQsT",0,0,1,1,2,5,63,82,85,2045,0,0,0,NA,67,NA,NA,NA,7.5e+07,1e+08,4e+09,1,8,2,1,0,88,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P8eSYyEn626",0,2,5,10,15,12,30,50,80,2030,1,5,3,60,NA,NA,NA,NA,1e+08,5e+08,8e+08,80,30,70,75,70,10,50,20,10,30,15,10,10,5,"Climate change","Climate change","385"
"True","P3r2uTwzoCU",0,0,2,NA,NA,NA,30,50,70,2040,2,4,8,2035,40,NA,NA,NA,6e+07,7e+07,9.5e+07,15,10,30,20,10,10,5,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P5kUmCxDC1h",0.001,0.001,0.01,2,2,3,30.1,50.1,80.1,2120,1e-05,1e-05,1e-04,NA,52,4e+06,3e+06,1e+06,NA,NA,NA,15,65,9.8,10,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PvUdANtXhmR",0.7,0.9,1.1,6,7,9,60,65,85,2035,0.2,0.4,0.8,NA,20,NA,NA,NA,6.5e+07,1.8e+08,1e+09,2,1,0.4,0.2,5e-04,4e-05,0,60,20,10,5,2,3,0,"n/a","n/a","{Invalid Expression}"
"True","PtWhGuZlYGx",NA,NA,NA,16,14,12,55,72,88,2125,0,1,2,2150,1,NA,NA,NA,50,60,100,15,20,15,20,1,29,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PyRdIFnPE8y",NA,NA,NA,3,4,7,31,52,80,2400,0,0,1,2400,54,NA,NA,NA,5.5e+07,7.5e+07,1.25e+08,7,19,5,20,1,32,16,NA,NA,NA,NA,NA,NA,NA,"Climate Change","","100"
"True","PdiiQ4M9J5s",0,0,0,16,18,25,58,75,90,2035,0,0,0,2050,NA,5e+07,7.5e+07,7.5e+07,NA,NA,NA,3,10,2,2,0,50,33,NA,NA,NA,NA,NA,NA,NA,"Human-drive climate change","","100"
"True","PymVYTYjHpk",15,36,50,NA,NA,NA,71.5,95,100,2021,17,38,57,2100,100,NA,NA,NA,5e+07,1e+08,1e+09,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,"0","0","{Invalid Expression}"
"True","P55EtOviLcv",0,0,2,3,3,5,NA,NA,NA,2300,0,0,0,2200,1,NA,NA,NA,5e+07,5.5e+07,1e+08,2,4,3,3,2,86,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PUw1vCkEbdO",0,1,1,0,0,2,NA,NA,NA,2070,0,0,0,3000,80,NA,NA,NA,1e+08,5e+09,2e+10,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Supernatural destruction of the earth by God, as per prophecies in the Bible.","","100"
"True","PGirSmcR7br",0,0,0,2,2,2,90,92,99,2056,NA,NA,NA,1e+210,99.9,NA,NA,NA,6e+07,7e+07,7e+07,20,20,20,20,0,20,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PXqGWSxUXUO",0,0,1,3,2,1,81,85,87,1e+210,1,2,5,NA,30,NA,NA,NA,30,50,300,0,1,0,0,0,10,10,0,1,0,0,0,39,60,"space bodies/meteors","space bodies/meteors","21"
"True","PeBnKQQqazS",0,1,2,NA,NA,NA,60,72,87,2040,0,1,3,2045,20,NA,NA,NA,1e+09,3e+09,1e+10,3,9,1,85,1,1,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PI1ighZQeKQ",1,3,5,4,9,20,1005,1020,1070,NA,1,2,5,2050,8,4e+09,1.5e+10,4.5e+10,NA,NA,NA,28,8,6,25,4,22,7,NA,NA,NA,NA,NA,NA,NA,"God ending the world","","100"
"True","Pc7S9GQytQV",0,0,1,3,4,5,1600,1700,1800,2035,0,0,1,2050,NA,NA,NA,NA,1e+08,5e+08,5e+09,20,20,20,15,5,10,0,20,20,20,15,5,10,10,"","","90"
"True","PduNwZqpLoY",0,0,1,2,5,10,60,72,88,2024,2,2,5,2024,NA,4700000,5e+06,1.5e+07,NA,NA,NA,10,6,50,30,0,2,2,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PaLTmhWsVUB",0,0,1,6,6,6,75,85,92,2075,0,0,0,1e+210,NA,2e+07,1e+08,1e+09,NA,NA,NA,10,20,5,1,0,20,44,NA,NA,NA,NA,NA,NA,NA,"Climate change","","100"
